"Name","API Name","Memory","Compute Units (ECU)","vCPUs","GPUs","FPGAs","ECU per vCPU","Physical Processor","Clock Speed(GHz)","Intel AVX","Intel AVX2","Intel Turbo","Instance Storage","Instance Storage: already warmed-up","Instance Storage: SSD TRIM Support","Arch","Network Performance","EBS Optimized: Max Bandwidth","EBS Optimized: Throughput","EBS Optimized: Max 16K IOPS","Max IPs","Max ENIs","Enhanced Networking","VPC Only","IPv6 Support","Placement Group Support","Linux Virtualization","Linux On Demand cost","Linux Reserved cost","RHEL On Demand cost","RHEL Reserved cost","SLES On Demand cost","SLES Reserved cost","Windows On Demand cost","Windows Reserved cost","Windows SQL Web On Demand cost","Windows SQL Web Reserved cost","Windows SQL Std On Demand cost","Windows SQL Std Reserved cost","Windows SQL Ent On Demand cost","Windows SQL Ent Reserved cost","Linux SQL Web On Demand cost","Linux SQL Web Reserved cost","Linux SQL Std On Demand cost","Linux SQL Std Reserved cost","Linux SQL Ent On Demand cost","Linux SQL Ent Reserved cost","EBS Optimized surcharge"
"D2 Quadruple Extra Large","d2.4xlarge","122.0 GiB","56 units","16 vCPUs","0","0","3.5 units","","","","","","24000 GiB               (12 * 2000 GiB HDD)","Yes","N/A","64-bit","High","2000.0 Mbps","250.0 MB/s","16000.0 IOPS","240","8","Yes","No","Yes","Yes","HVM","$3.176000 hourly","$1.616000 hourly","$2.89 hourly","$1.738 hourly","$2.86 hourly","$1.645 hourly","$3.478000 hourly","$1.683000 hourly","unavailable","unavailable","unavailable","unavailable","$9.496 hourly","$8.346 hourly","unavailable","unavailable","unavailable","unavailable","$8.76 hourly","$7.449 hourly","$0.00 hourly"
"D2 Eight Extra Large","d2.8xlarge","244.0 GiB","116 units","36 vCPUs","0","0","3.222 units","","","","","","48000 GiB               (24 * 2000 GiB HDD)","Yes","N/A","64-bit","10 Gigabit","4000.0 Mbps","500.0 MB/s","32000.0 IOPS","240","8","Yes","No","Yes","Yes","HVM","$6.352000 hourly","$3.232000 hourly","$5.65 hourly","$3.346 hourly","$5.62 hourly","$3.253 hourly","$7.030000 hourly","$3.299000 hourly","unavailable","unavailable","unavailable","unavailable","$20.676 hourly","$18.375 hourly","unavailable","unavailable","unavailable","unavailable","$19.02 hourly","$16.398 hourly","$0.00 hourly"
"M3 General Purpose Medium","m3.medium","3.75 GiB","3 units","1 vCPUs","0","0","3 units","","","","","","4 GiB               SSD","No","No","64-bit","Moderate","N/A","0 MB/s","0 IOPS","12","2","No","No","No","No","HVM, PV","$0.079000 hourly","$0.054000 hourly","$0.127 hourly","$0.108 hourly","$0.167 hourly","$0.081 hourly","$0.142000 hourly","$0.097000 hourly","$0.184 hourly","$0.127 hourly","$0.353 hourly","$0.221 hourly","unavailable","unavailable","$0.135 hourly","$0.111 hourly","$0.547 hourly","$0.523 hourly","unavailable","unavailable","unavailable"
"M3 General Purpose Large","m3.large","7.5 GiB","6.5 units","2 vCPUs","0","0","3.25 units","","","","","","32 GiB               SSD","No","No","64-bit","Moderate","N/A","0 MB/s","0 IOPS","30","3","No","No","No","No","HVM, PV","$0.158000 hourly","$0.108000 hourly","$0.193 hourly","$0.155 hourly","$0.233 hourly","$0.128 hourly","$0.284000 hourly","$0.193000 hourly","$0.367 hourly","$0.239 hourly","$0.704 hourly","$0.442 hourly","unavailable","unavailable","$0.202 hourly","$0.154 hourly","$0.614 hourly","$0.566 hourly","unavailable","unavailable","unavailable"
"M3 General Purpose Extra Large","m3.xlarge","15.0 GiB","13 units","4 vCPUs","0","0","3.25 units","","","","","","80 GiB               (2 * 40 GiB SSD)","No","No","64-bit","High","N/A","0 MB/s","0 IOPS","60","4","No","No","No","No","HVM, PV","$0.315000 hourly","$0.215000 hourly","$0.326 hourly","$0.250 hourly","$0.366 hourly","$0.223 hourly","$0.567000 hourly","$0.385000 hourly","$0.734 hourly","$0.479 hourly","$1.266 hourly","$0.882 hourly","$1.95 hourly","$1.878 hourly","$0.336 hourly","$0.240 hourly","$0.748 hourly","$0.653 hourly","$1.768 hourly","$1.673 hourly","unavailable"
"M3 General Purpose Double Extra Large","m3.2xlarge","30.0 GiB","26 units","8 vCPUs","0","0","3.25 units","","","","","","160 GiB               (2 * 80 GiB SSD)","No","No","64-bit","High","N/A","0 MB/s","0 IOPS","120","4","No","No","No","No","HVM, PV","$0.632000 hourly","$0.430000 hourly","$0.662 hourly","$0.510 hourly","$0.632 hourly","$0.413 hourly","$1.136000 hourly","$0.770000 hourly","$1.468 hourly","$0.957 hourly","$2.532 hourly","$1.661 hourly","$3.9 hourly","$3.756 hourly","$0.671 hourly","$0.480 hourly","$1.496 hourly","$1.305 hourly","$3.536 hourly","$3.345 hourly","unavailable"
"C3 High-CPU Large","c3.large","3.75 GiB","7 units","2 vCPUs","0","0","3.5 units","","","","","","32 GiB               (2 * 16 GiB SSD)","No","No","64-bit","Moderate","N/A","0 MB/s","0 IOPS","30","3","No","No","Yes","No","HVM, PV","$0.129000 hourly","$0.083000 hourly","$0.165 hourly","$0.133 hourly","$0.205 hourly","$0.109 hourly","$0.212000 hourly","$0.159000 hourly","$0.271 hourly","$0.192 hourly","$0.561 hourly","$0.406 hourly","unavailable","unavailable","$0.173 hourly","$0.134 hourly","$0.585 hourly","$0.546 hourly","unavailable","unavailable","unavailable"
"C3 High-CPU Extra Large","c3.xlarge","7.5 GiB","14 units","4 vCPUs","0","0","3.5 units","","","","","","80 GiB               (2 * 40 GiB SSD)","No","No","64-bit","Moderate","N/A","0 MB/s","0 IOPS","60","4","No","No","Yes","No","HVM, PV","$0.258000 hourly","$0.167000 hourly","$0.27 hourly","$0.206 hourly","$0.31 hourly","$0.182 hourly","$0.424000 hourly","$0.318000 hourly","$0.542 hourly","$0.386 hourly","$1.066 hourly","$0.771 hourly","$1.894 hourly","$1.833 hourly","$0.278 hourly","$0.200 hourly","$0.69 hourly","$0.613 hourly","$1.71 hourly","$1.633 hourly","unavailable"
"C3 High-CPU Double Extra Large","c3.2xlarge","15.0 GiB","28 units","8 vCPUs","0","0","3.5 units","","","","","","160 GiB               (2 * 80 GiB SSD)","No","No","64-bit","High","N/A","0 MB/s","0 IOPS","60","4","No","No","Yes","No","HVM, PV","$0.516000 hourly","$0.332000 hourly","$0.55 hourly","$0.422 hourly","$0.52 hourly","$0.328 hourly","$0.848000 hourly","$0.635000 hourly","$1.083 hourly","$0.771 hourly","$2.131 hourly","$1.542 hourly","$3.788 hourly","$3.664 hourly","$0.555 hourly","$0.401 hourly","$1.38 hourly","$1.225 hourly","$3.42 hourly","$3.265 hourly","unavailable"
"C3 High-CPU Quadruple Extra Large","c3.4xlarge","30.0 GiB","55 units","16 vCPUs","0","0","3.438 units","","","","","","320 GiB               (2 * 160 GiB SSD)","No","No","64-bit","High","N/A","0 MB/s","0 IOPS","240","8","No","No","Yes","No","HVM, PV","$1.032000 hourly","$0.664000 hourly","$0.97 hourly","$0.714 hourly","$0.94 hourly","$0.620 hourly","$1.696000 hourly","$1.271000 hourly","$2.166 hourly","$1.540 hourly","$4.262 hourly","$3.084 hourly","$7.576 hourly","$7.329 hourly","$1.11 hourly","$0.801 hourly","$2.76 hourly","$2.451 hourly","$6.84 hourly","$6.531 hourly","unavailable"
